,model,group,cos_sim
0,bert,tiny,0.017475130036473274
1,bert,tiny,-0.004947397392243147
2,bert,tiny,-0.044279083609580994
3,bert,tiny,-0.08734504133462906
4,bert,tiny,-0.05018799006938934
5,bert,tiny,-0.0351092629134655
6,bert,tiny,0.003623947501182556
7,bert,tiny,0.01453526969999075
8,bert,tiny,-0.023953821510076523
9,bert,tiny,-0.03728173300623894
10,bert,tiny,0.019813241437077522
11,bert,tiny,-0.05252663418650627
12,bert,tiny,-0.07056981325149536
13,bert,tiny,-0.020520180463790894
14,bert,tiny,-0.04261219501495361
15,bert,small,-0.04622669517993927
16,bert,small,-0.010074498131871223
17,bert,small,0.04970138147473335
18,bert,small,-0.03712362051010132
19,bert,small,0.03867683932185173
20,bert,small,-0.00659638037905097
21,bert,small,-0.004702365025877953
22,bert,small,-0.02291952818632126
23,bert,small,0.04410770907998085
24,bert,small,-0.08205913752317429
25,bert,small,0.011238648556172848
26,bert,small,0.03304965794086456
27,bert,small,0.013234946876764297
28,bert,small,-0.05926673859357834
29,bert,small,0.014424175024032593
30,bert,small,-0.017435817047953606
31,bert,small,0.0006426249165087938
32,bert,small,0.005776252131909132
33,bert,small,0.004569917917251587
34,bert,small,-0.021119965240359306
35,bert,small,-0.009326682426035404
36,bert,small,0.04312107339501381
37,bert,small,-0.008183024823665619
38,bert,small,-0.06188298761844635
39,bert,small,0.02291666530072689
40,bert,small,0.01651354320347309
41,bert,small,-0.029956746846437454
42,bert,small,0.006857418920844793
43,bert,small,-0.004062174819409847
44,bert,small,0.05572414770722389
45,bert,small,-0.028049971908330917
46,bert,small,-0.07129289209842682
47,bert,small,-0.027016781270503998
48,bert,medium,-0.039756130427122116
49,bert,medium,0.01495998352766037
50,bert,medium,-0.02677757851779461
51,bert,medium,-0.026720372959971428
52,bert,medium,-0.012640555389225483
53,bert,medium,-0.04599324241280556
54,bert,medium,-0.010833866894245148
55,bert,medium,0.04242207109928131
56,bert,medium,-0.005363748874515295
57,bert,medium,0.051611244678497314
58,bert,medium,0.04339050501585007
59,bert,medium,-0.05389924719929695
60,bert,medium,-0.008695622906088829
61,bert,medium,0.01689836196601391
62,bert,medium,0.044692445546388626
63,bert,medium,-0.005057372152805328
64,bert,medium,0.0277395136654377
65,bert,medium,0.053828805685043335
66,bert,medium,0.05461152642965317
67,bert,medium,-0.005063244607299566
68,bert,medium,0.005336022935807705
69,bert,medium,0.02186107076704502
70,bert,medium,0.0028176165651530027
71,bert,medium,-0.012105395086109638
72,bert,medium,-0.10654794424772263
73,bert,large,0.05857156217098236
74,bert,large,-0.02462630346417427
75,bert,large,0.021626146510243416
76,bert,large,-0.021854905411601067
77,bert,large,0.002571647986769676
78,bert,large,0.018214518204331398
79,bert,large,-0.011516092345118523
80,bert,large,-0.05937868356704712
81,bert,large,0.0705888420343399
82,bert,large,-0.011062934063374996
83,bert,large,-0.048804618418216705
84,bert,large,0.03747853636741638
85,bert,large,0.013094034977257252
86,bert,large,0.007307181600481272
87,bert,large,0.039397068321704865
88,bert,large,0.05008939653635025
89,bert,huge,0.05377177149057388
90,bert,huge,0.021994877606630325
91,bert,huge,0.028056124225258827
92,bert,huge,0.011046074330806732
93,bert,huge,0.06943736225366592
94,bert,huge,-0.02637014351785183
95,bert,huge,-0.02922416664659977
96,bert,huge,0.008417872712016106
97,bert,huge,0.06222085654735565
98,bert,huge,-0.00696527399122715
99,bert,huge,-0.0020042848773300648
100,bert,huge,0.015536402352154255
101,bert,huge,0.01597299426794052
102,bert,huge,-0.024880990386009216
103,bert,huge,0.0059515549801290035
104,bert,huge,-0.010621286928653717
105,bert,huge,0.0550653338432312
106,bert,huge,-0.05170631781220436
107,oscar,tiny,-0.07471179962158203
108,oscar,tiny,-0.019051648676395416
109,oscar,tiny,-0.026256795972585678
110,oscar,tiny,-0.04917829483747482
111,oscar,tiny,-0.024423621594905853
112,oscar,tiny,-0.015208035707473755
113,oscar,tiny,-0.0015698231291025877
114,oscar,tiny,0.018518900498747826
115,oscar,tiny,-0.05287383124232292
116,oscar,tiny,-0.03616516292095184
117,oscar,tiny,-0.014379541389644146
118,oscar,tiny,0.0013696488458663225
119,oscar,tiny,-0.024372460320591927
120,oscar,tiny,-0.041621752083301544
121,oscar,tiny,-0.04432973638176918
122,oscar,small,-0.024463629350066185
123,oscar,small,-0.021179435774683952
124,oscar,small,0.03342816233634949
125,oscar,small,-0.006722141057252884
126,oscar,small,0.002000207779929042
127,oscar,small,-0.05150441452860832
128,oscar,small,-0.0046529145911335945
129,oscar,small,-0.03553079441189766
130,oscar,small,0.008559072390198708
131,oscar,small,-0.06180006265640259
132,oscar,small,0.004513082094490528
133,oscar,small,-0.03237594664096832
134,oscar,small,0.0003328524180687964
